ejemplar,Solution cost 1,Acceptable cost,Bigger?
ejemplar_calibrado_1.txt,9004,7906,TRUE
ejemplar_calibrado_10.txt,12716,11918,TRUE
ejemplar_calibrado_100.txt,10208,9904,TRUE
ejemplar_calibrado_11.txt,12372,11592,TRUE
ejemplar_calibrado_12.txt,11676,11338,TRUE
ejemplar_calibrado_13.txt,11764,10866,TRUE
ejemplar_calibrado_14.txt,11218,10012,TRUE
ejemplar_calibrado_15.txt,14016,13288,TRUE
ejemplar_calibrado_16.txt,11190,10632,TRUE
ejemplar_calibrado_17.txt,12534,11546,TRUE
ejemplar_calibrado_18.txt,13138,12400,TRUE
ejemplar_calibrado_19.txt,9348,8744,TRUE
ejemplar_calibrado_2.txt,8172,7996,TRUE
ejemplar_calibrado_20.txt,12492,11644,TRUE
ejemplar_calibrado_21.txt,13402,12326,TRUE
ejemplar_calibrado_22.txt,13300,12424,TRUE
ejemplar_calibrado_23.txt,12804,11674,TRUE
ejemplar_calibrado_24.txt,11210,10334,TRUE
ejemplar_calibrado_25.txt,12730,12122,TRUE
ejemplar_calibrado_26.txt,11938,10440,TRUE
ejemplar_calibrado_27.txt,11506,10132,TRUE
ejemplar_calibrado_28.txt,9292,8586,TRUE
ejemplar_calibrado_29.txt,12906,11532,TRUE
ejemplar_calibrado_3.txt,13258,11938,TRUE
ejemplar_calibrado_30.txt,11042,10384,TRUE
ejemplar_calibrado_31.txt,13094,11794,TRUE
ejemplar_calibrado_32.txt,11486,10838,TRUE
ejemplar_calibrado_33.txt,10388,9770,TRUE
ejemplar_calibrado_34.txt,11816,10874,TRUE
ejemplar_calibrado_35.txt,12228,11802,TRUE
ejemplar_calibrado_36.txt,11432,10856,TRUE
ejemplar_calibrado_37.txt,8972,8746,TRUE
ejemplar_calibrado_38.txt,12390,11066,TRUE
ejemplar_calibrado_39.txt,10346,9872,TRUE
ejemplar_calibrado_4.txt,11724,11130,TRUE
ejemplar_calibrado_40.txt,11644,10654,TRUE
ejemplar_calibrado_41.txt,11164,10506,TRUE
ejemplar_calibrado_42.txt,10590,9314,TRUE
ejemplar_calibrado_43.txt,11986,11986,TRUE
ejemplar_calibrado_44.txt,12686,11164,TRUE
ejemplar_calibrado_45.txt,11454,10892,TRUE
ejemplar_calibrado_46.txt,12568,11482,TRUE
ejemplar_calibrado_47.txt,13464,11870,TRUE
ejemplar_calibrado_48.txt,10634,10352,TRUE
ejemplar_calibrado_49.txt,11576,11550,TRUE
ejemplar_calibrado_5.txt,12416,11804,TRUE
ejemplar_calibrado_50.txt,12654,11498,TRUE
ejemplar_calibrado_51.txt,8822,8128,TRUE
ejemplar_calibrado_52.txt,12740,11576,TRUE
ejemplar_calibrado_53.txt,10514,9464,TRUE
ejemplar_calibrado_54.txt,12356,12032,TRUE
ejemplar_calibrado_55.txt,9340,8372,TRUE
ejemplar_calibrado_56.txt,13022,12122,TRUE
ejemplar_calibrado_57.txt,13744,12412,TRUE
ejemplar_calibrado_58.txt,12978,12956,TRUE
ejemplar_calibrado_59.txt,9542,9220,TRUE
ejemplar_calibrado_6.txt,14246,13564,TRUE
ejemplar_calibrado_60.txt,13630,11902,TRUE
ejemplar_calibrado_61.txt,12348,11698,TRUE
ejemplar_calibrado_62.txt,12600,12252,TRUE
ejemplar_calibrado_63.txt,14578,14154,TRUE
ejemplar_calibrado_64.txt,12922,12590,TRUE
ejemplar_calibrado_65.txt,9482,9318,TRUE
ejemplar_calibrado_66.txt,10502,10014,TRUE
ejemplar_calibrado_67.txt,9386,9296,TRUE
ejemplar_calibrado_68.txt,10610,10224,TRUE
ejemplar_calibrado_69.txt,11204,11076,TRUE
ejemplar_calibrado_7.txt,11842,10900,TRUE
ejemplar_calibrado_70.txt,11646,10730,TRUE
ejemplar_calibrado_71.txt,12102,11868,TRUE
ejemplar_calibrado_72.txt,11336,10898,TRUE
ejemplar_calibrado_73.txt,10850,10438,TRUE
ejemplar_calibrado_74.txt,11230,10736,TRUE
ejemplar_calibrado_75.txt,10975,10964,TRUE
ejemplar_calibrado_76.txt,12336,11748,TRUE
ejemplar_calibrado_77.txt,12350,11132,TRUE
ejemplar_calibrado_78.txt,11698,10522,TRUE
ejemplar_calibrado_79.txt,11844,10780,TRUE
ejemplar_calibrado_8.txt,12108,10932,TRUE
ejemplar_calibrado_80.txt,13202,12510,TRUE
ejemplar_calibrado_81.txt,11645,11642,TRUE
ejemplar_calibrado_82.txt,11242,10348,TRUE
ejemplar_calibrado_83.txt,10262,9532,TRUE
ejemplar_calibrado_84.txt,11336,10432,TRUE
ejemplar_calibrado_85.txt,11990,11372,TRUE
ejemplar_calibrado_86.txt,10640,9790,TRUE
ejemplar_calibrado_87.txt,11726,11036,TRUE
ejemplar_calibrado_88.txt,10140,9872,TRUE
ejemplar_calibrado_89.txt,11344,10132,TRUE
ejemplar_calibrado_9.txt,13076,12874,TRUE
ejemplar_calibrado_90.txt,10568,10282,TRUE
ejemplar_calibrado_91.txt,12058,11552,TRUE
ejemplar_calibrado_92.txt,11066,10178,TRUE
ejemplar_calibrado_93.txt,11402,10950,TRUE
ejemplar_calibrado_94.txt,11632,11038,TRUE
ejemplar_calibrado_95.txt,11742,10512,TRUE
ejemplar_calibrado_96.txt,12746,12178,TRUE
ejemplar_calibrado_97.txt,12508,12192,TRUE
ejemplar_calibrado_98.txt,11648,10824,TRUE
ejemplar_calibrado_99.txt,13576,12218,TRUE
ejemplar_prueba_1.txt,12546,10930,TRUE
ejemplar_prueba_10.txt,10436,8560,TRUE
ejemplar_prueba_100.txt,10954,9920,TRUE
ejemplar_prueba_11.txt,12400,10838,TRUE
ejemplar_prueba_12.txt,13432,13014,TRUE
ejemplar_prueba_13.txt,10716,9962,TRUE
ejemplar_prueba_14.txt,11462,10688,TRUE
ejemplar_prueba_15.txt,12802,11656,TRUE
ejemplar_prueba_16.txt,11626,10464,TRUE
ejemplar_prueba_17.txt,11198,10218,TRUE
ejemplar_prueba_18.txt,13794,13258,TRUE
ejemplar_prueba_19.txt,11102,10606,TRUE
ejemplar_prueba_2.txt,10814,9976,TRUE
ejemplar_prueba_20.txt,11940,11820,TRUE
ejemplar_prueba_21.txt,12270,11160,TRUE
ejemplar_prueba_22.txt,12098,11488,TRUE
ejemplar_prueba_23.txt,9932,9820,TRUE
ejemplar_prueba_24.txt,11954,10696,TRUE
ejemplar_prueba_25.txt,7368,7298,TRUE
ejemplar_prueba_26.txt,9836,9682,TRUE
ejemplar_prueba_27.txt,13216,12508,TRUE
ejemplar_prueba_28.txt,14112,12866,TRUE
ejemplar_prueba_29.txt,12024,11276,TRUE
ejemplar_prueba_3.txt,13296,11776,TRUE
ejemplar_prueba_30.txt,12888,12174,TRUE
ejemplar_prueba_31.txt,10466,8078,TRUE
ejemplar_prueba_32.txt,12034,11368,TRUE
ejemplar_prueba_33.txt,10376,9902,TRUE
ejemplar_prueba_34.txt,10404,10132,TRUE
ejemplar_prueba_35.txt,9918,9666,TRUE
ejemplar_prueba_36.txt,10228,9912,TRUE
ejemplar_prueba_37.txt,8908,8878,TRUE
ejemplar_prueba_38.txt,11440,9468,TRUE
ejemplar_prueba_39.txt,12492,11662,TRUE
ejemplar_prueba_4.txt,12244,9638,TRUE
ejemplar_prueba_40.txt,11418,8252,TRUE
ejemplar_prueba_41.txt,12914,11460,TRUE
ejemplar_prueba_42.txt,11560,11010,TRUE
ejemplar_prueba_43.txt,10740,9444,TRUE
ejemplar_prueba_44.txt,11890,11806,TRUE
ejemplar_prueba_45.txt,10922,10246,TRUE
ejemplar_prueba_46.txt,11460,11164,TRUE
ejemplar_prueba_47.txt,10374,10280,TRUE
ejemplar_prueba_48.txt,11486,10240,TRUE
ejemplar_prueba_49.txt,11474,9890,TRUE
ejemplar_prueba_5.txt,11762,11758,TRUE
ejemplar_prueba_50.txt,13036,12938,TRUE
ejemplar_prueba_51.txt,11766,9704,TRUE
ejemplar_prueba_52.txt,12352,11866,TRUE
ejemplar_prueba_53.txt,10866,10240,TRUE
ejemplar_prueba_54.txt,9410,8064,TRUE
ejemplar_prueba_55.txt,12344,9288,TRUE
ejemplar_prueba_56.txt,10052,8710,TRUE
ejemplar_prueba_57.txt,12368,11982,TRUE
ejemplar_prueba_58.txt,12278,11960,TRUE
ejemplar_prueba_59.txt,11860,11110,TRUE
ejemplar_prueba_6.txt,12402,11782,TRUE
ejemplar_prueba_60.txt,13674,12652,TRUE
ejemplar_prueba_61.txt,10942,10154,TRUE
ejemplar_prueba_62.txt,11926,11148,TRUE
ejemplar_prueba_63.txt,12084,10408,TRUE
ejemplar_prueba_64.txt,10888,10168,TRUE
ejemplar_prueba_65.txt,13114,12296,TRUE
ejemplar_prueba_66.txt,14268,12888,TRUE
ejemplar_prueba_67.txt,10340,9800,TRUE
ejemplar_prueba_68.txt,11732,10890,TRUE
ejemplar_prueba_69.txt,9650,9014,TRUE
ejemplar_prueba_7.txt,9698,8742,TRUE
ejemplar_prueba_70.txt,11140,10460,TRUE
ejemplar_prueba_71.txt,10784,9756,TRUE
ejemplar_prueba_72.txt,10994,10400,TRUE
ejemplar_prueba_73.txt,10730,10118,TRUE
ejemplar_prueba_74.txt,12890,11372,TRUE
ejemplar_prueba_75.txt,12456,11872,TRUE
ejemplar_prueba_76.txt,9392,7802,TRUE
ejemplar_prueba_77.txt,7900,7900,TRUE
ejemplar_prueba_78.txt,11834,11462,TRUE
ejemplar_prueba_79.txt,10462,8324,TRUE
ejemplar_prueba_8.txt,10066,9952,TRUE
ejemplar_prueba_80.txt,11512,10916,TRUE
ejemplar_prueba_81.txt,13296,13112,TRUE
ejemplar_prueba_82.txt,10770,9336,TRUE
ejemplar_prueba_83.txt,12420,11574,TRUE
ejemplar_prueba_84.txt,12624,12090,TRUE
ejemplar_prueba_85.txt,10884,9122,TRUE
ejemplar_prueba_86.txt,12756,12436,TRUE
ejemplar_prueba_87.txt,12666,11974,TRUE
ejemplar_prueba_88.txt,11680,11048,TRUE
ejemplar_prueba_89.txt,10626,9448,TRUE
ejemplar_prueba_9.txt,8834,8834,TRUE
ejemplar_prueba_90.txt,12888,11966,TRUE
ejemplar_prueba_91.txt,12516,12270,TRUE
ejemplar_prueba_92.txt,14264,13386,TRUE
ejemplar_prueba_93.txt,11700,11322,TRUE
ejemplar_prueba_94.txt,11836,11098,TRUE
ejemplar_prueba_95.txt,10862,10572,TRUE
ejemplar_prueba_96.txt,10684,7920,TRUE
ejemplar_prueba_97.txt,12782,10366,TRUE
ejemplar_prueba_98.txt,13792,13442,TRUE
ejemplar_prueba_99.txt,11404,9906,TRUE
